MGG_K_locus,category,count,facet_group,SC_source
KL1,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL10,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL103,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL11,KASPAH_REF_SCs,0,Sequence Clusters,KASPAH-REF
KL111,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL122,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL125,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL127,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL13,KASPAH_REF_SCs,0,Sequence Clusters,KASPAH-REF
KL14,KASPAH_REF_SCs,2,Sequence Clusters,KASPAH-REF
KL142,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL15,KASPAH_REF_SCs,2,Sequence Clusters,KASPAH-REF
KL16,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL2,KASPAH_REF_SCs,3,Sequence Clusters,KASPAH-REF
KL21,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL22,KASPAH_REF_SCs,2,Sequence Clusters,KASPAH-REF
KL24,KASPAH_REF_SCs,3,Sequence Clusters,KASPAH-REF
KL25,KASPAH_REF_SCs,3,Sequence Clusters,KASPAH-REF
KL28,KASPAH_REF_SCs,4,Sequence Clusters,KASPAH-REF
KL3,KASPAH_REF_SCs,0,Sequence Clusters,KASPAH-REF
KL30,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL35,KASPAH_REF_SCs,0,Sequence Clusters,KASPAH-REF
KL38,KASPAH_REF_SCs,2,Sequence Clusters,KASPAH-REF
KL39,KASPAH_REF_SCs,2,Sequence Clusters,KASPAH-REF
KL47,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL48,KASPAH_REF_SCs,0,Sequence Clusters,KASPAH-REF
KL55,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL57,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL6,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL60,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL61,KASPAH_REF_SCs,0,Sequence Clusters,KASPAH-REF
KL62,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL64,KASPAH_REF_SCs,3,Sequence Clusters,KASPAH-REF
KL7,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL8,KASPAH_REF_SCs,1,Sequence Clusters,KASPAH-REF
KL1,other_SCs,14,Sequence Clusters,Other
KL10,other_SCs,15,Sequence Clusters,Other
KL103,other_SCs,9,Sequence Clusters,Other
KL11,other_SCs,11,Sequence Clusters,Other
KL111,other_SCs,13,Sequence Clusters,Other
KL122,other_SCs,10,Sequence Clusters,Other
KL125,other_SCs,13,Sequence Clusters,Other
KL127,other_SCs,9,Sequence Clusters,Other
KL13,other_SCs,18,Sequence Clusters,Other
KL14,other_SCs,9,Sequence Clusters,Other
KL142,other_SCs,10,Sequence Clusters,Other
KL15,other_SCs,10,Sequence Clusters,Other
KL16,other_SCs,10,Sequence Clusters,Other
KL2,other_SCs,8,Sequence Clusters,Other
KL21,other_SCs,12,Sequence Clusters,Other
KL22,other_SCs,15,Sequence Clusters,Other
KL24,other_SCs,13,Sequence Clusters,Other
KL25,other_SCs,7,Sequence Clusters,Other
KL28,other_SCs,7,Sequence Clusters,Other
KL3,other_SCs,12,Sequence Clusters,Other
KL30,other_SCs,23,Sequence Clusters,Other
KL35,other_SCs,15,Sequence Clusters,Other
KL38,other_SCs,9,Sequence Clusters,Other
KL39,other_SCs,11,Sequence Clusters,Other
KL47,other_SCs,12,Sequence Clusters,Other
KL48,other_SCs,10,Sequence Clusters,Other
KL55,other_SCs,16,Sequence Clusters,Other
KL57,other_SCs,10,Sequence Clusters,Other
KL6,other_SCs,17,Sequence Clusters,Other
KL60,other_SCs,9,Sequence Clusters,Other
KL61,other_SCs,12,Sequence Clusters,Other
KL62,other_SCs,13,Sequence Clusters,Other
KL64,other_SCs,15,Sequence Clusters,Other
KL7,other_SCs,10,Sequence Clusters,Other
KL8,other_SCs,14,Sequence Clusters,Other
KL1,no.pv.kaspah.ref,2,Phage Variants,KASPAH-REF
KL10,no.pv.kaspah.ref,3,Phage Variants,KASPAH-REF
KL103,no.pv.kaspah.ref,3,Phage Variants,KASPAH-REF
KL11,no.pv.kaspah.ref,0,Phage Variants,KASPAH-REF
KL111,no.pv.kaspah.ref,2,Phage Variants,KASPAH-REF
KL122,no.pv.kaspah.ref,3,Phage Variants,KASPAH-REF
KL125,no.pv.kaspah.ref,2,Phage Variants,KASPAH-REF
KL127,no.pv.kaspah.ref,3,Phage Variants,KASPAH-REF
KL13,no.pv.kaspah.ref,0,Phage Variants,KASPAH-REF
KL14,no.pv.kaspah.ref,10,Phage Variants,KASPAH-REF
KL142,no.pv.kaspah.ref,5,Phage Variants,KASPAH-REF
KL15,no.pv.kaspah.ref,10,Phage Variants,KASPAH-REF
KL16,no.pv.kaspah.ref,2,Phage Variants,KASPAH-REF
KL2,no.pv.kaspah.ref,10,Phage Variants,KASPAH-REF
KL21,no.pv.kaspah.ref,5,Phage Variants,KASPAH-REF
KL22,no.pv.kaspah.ref,11,Phage Variants,KASPAH-REF
KL24,no.pv.kaspah.ref,8,Phage Variants,KASPAH-REF
KL25,no.pv.kaspah.ref,21,Phage Variants,KASPAH-REF
KL28,no.pv.kaspah.ref,22,Phage Variants,KASPAH-REF
KL3,no.pv.kaspah.ref,0,Phage Variants,KASPAH-REF
KL30,no.pv.kaspah.ref,4,Phage Variants,KASPAH-REF
KL35,no.pv.kaspah.ref,0,Phage Variants,KASPAH-REF
KL38,no.pv.kaspah.ref,3,Phage Variants,KASPAH-REF
KL39,no.pv.kaspah.ref,6,Phage Variants,KASPAH-REF
KL47,no.pv.kaspah.ref,2,Phage Variants,KASPAH-REF
KL48,no.pv.kaspah.ref,0,Phage Variants,KASPAH-REF
KL55,no.pv.kaspah.ref,5,Phage Variants,KASPAH-REF
KL57,no.pv.kaspah.ref,6,Phage Variants,KASPAH-REF
KL6,no.pv.kaspah.ref,2,Phage Variants,KASPAH-REF
KL60,no.pv.kaspah.ref,5,Phage Variants,KASPAH-REF
KL61,no.pv.kaspah.ref,0,Phage Variants,KASPAH-REF
KL62,no.pv.kaspah.ref,1,Phage Variants,KASPAH-REF
KL64,no.pv.kaspah.ref,13,Phage Variants,KASPAH-REF
KL7,no.pv.kaspah.ref,3,Phage Variants,KASPAH-REF
KL8,no.pv.kaspah.ref,3,Phage Variants,KASPAH-REF
KL1,no.pv.other,45,Phage Variants,Other
KL10,no.pv.other,69,Phage Variants,Other
KL103,no.pv.other,31,Phage Variants,Other
KL11,no.pv.other,39,Phage Variants,Other
KL111,no.pv.other,62,Phage Variants,Other
KL122,no.pv.other,50,Phage Variants,Other
KL125,no.pv.other,49,Phage Variants,Other
KL127,no.pv.other,29,Phage Variants,Other
KL13,no.pv.other,51,Phage Variants,Other
KL14,no.pv.other,92,Phage Variants,Other
KL142,no.pv.other,27,Phage Variants,Other
KL15,no.pv.other,50,Phage Variants,Other
KL16,no.pv.other,53,Phage Variants,Other
KL2,no.pv.other,50,Phage Variants,Other
KL21,no.pv.other,44,Phage Variants,Other
KL22,no.pv.other,72,Phage Variants,Other
KL24,no.pv.other,96,Phage Variants,Other
KL25,no.pv.other,51,Phage Variants,Other
KL28,no.pv.other,59,Phage Variants,Other
KL3,no.pv.other,84,Phage Variants,Other
KL30,no.pv.other,108,Phage Variants,Other
KL35,no.pv.other,51,Phage Variants,Other
KL38,no.pv.other,63,Phage Variants,Other
KL39,no.pv.other,50,Phage Variants,Other
KL47,no.pv.other,27,Phage Variants,Other
KL48,no.pv.other,42,Phage Variants,Other
KL55,no.pv.other,56,Phage Variants,Other
KL57,no.pv.other,32,Phage Variants,Other
KL6,no.pv.other,53,Phage Variants,Other
KL60,no.pv.other,40,Phage Variants,Other
KL61,no.pv.other,35,Phage Variants,Other
KL62,no.pv.other,59,Phage Variants,Other
KL64,no.pv.other,92,Phage Variants,Other
KL7,no.pv.other,41,Phage Variants,Other
KL8,no.pv.other,69,Phage Variants,Other
