MGG_K_locus,category,count,type,source
KL1,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL10,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL101,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL102,KASPAH_REF_SCs,2,SCs,KASPAH-REF
KL103,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL104,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL105,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL106,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL107,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL108,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL109,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL11,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL110,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL111,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL112,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL113,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL114,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL115,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL116,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL117,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL118,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL119,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL12,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL120,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL121,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL122,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL123,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL124,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL125,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL126,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL127,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL128,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL13,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL130,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL131,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL132,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL133,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL134,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL135,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL136,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL137,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL138,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL139,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL14,KASPAH_REF_SCs,2,SCs,KASPAH-REF
KL140,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL141,KASPAH_REF_SCs,2,SCs,KASPAH-REF
KL142,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL143,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL144,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL145,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL146,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL147,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL148,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL149,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL15,KASPAH_REF_SCs,2,SCs,KASPAH-REF
KL151,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL153,KASPAH_REF_SCs,2,SCs,KASPAH-REF
KL155,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL157,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL158,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL16,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL162,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL164,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL165,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL166,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL167,KASPAH_REF_SCs,0,SCs,KASPAH-REF
