MGG_K_locus,completeness,total_SCs,KASPAH_REF_SCs,other_SCs
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,75.66,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,91.47,15,1,14
KL1,91.47,15,1,14
KL1,90.99,15,1,14
KL1,89.83,15,1,14
KL1,73.62,15,1,14
KL1,65.14,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,88.14,15,1,14
KL1,65.35,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,82.39,15,1,14
KL1,100,15,1,14
KL1,72.29,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,66.39,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,77.45,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,100,15,1,14
KL1,73,15,1,14
KL1,58.57,15,1,14
KL1,82.37,15,1,14
KL1,69.78,15,1,14
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,94.51,16,1,15
KL10,90.52,16,1,15
KL10,88.61,16,1,15
KL10,65.26,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,82.74,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,96.08,16,1,15
KL10,69.2,16,1,15
KL10,67.69,16,1,15
KL10,67.69,16,1,15
KL10,67.69,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,94.51,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,90.52,16,1,15
KL10,69.32,16,1,15
KL10,65.26,16,1,15
KL10,59.54,16,1,15
KL10,58.51,16,1,15
KL10,56.11,16,1,15
KL10,53.57,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,99.37,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,98.79,16,1,15
KL10,93.34,16,1,15
KL10,74.15,16,1,15
KL10,68.66,16,1,15
KL10,65.51,16,1,15
KL10,65.38,16,1,15
KL10,65.35,16,1,15
KL10,59,16,1,15
KL10,57.48,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,89.13,16,1,15
KL10,84.23,16,1,15
KL10,84.22,16,1,15
KL10,76.51,16,1,15
KL10,75.5,16,1,15
KL10,72.52,16,1,15
KL10,71.5,16,1,15
KL10,60.18,16,1,15
KL10,60.15,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,98.65,16,1,15
KL10,86.04,16,1,15
KL10,84.14,16,1,15
KL10,74.29,16,1,15
KL10,66.49,16,1,15
KL10,55.53,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,69.2,16,1,15
KL10,67.69,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,100,16,1,15
KL10,85.01,16,1,15
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,99.24,10,1,9
KL103,95,10,1,9
KL103,83.4,10,1,9
KL103,60.66,10,1,9
KL103,57.5,10,1,9
KL103,54.32,10,1,9
KL103,53.47,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,99.61,10,1,9
KL103,95.7,10,1,9
KL103,100,10,1,9
KL103,84.82,10,1,9
KL103,69.36,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,100,10,1,9
KL103,95,10,1,9
KL103,68.29,10,1,9
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,59.07,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,72.36,11,0,11
KL11,72.34,11,0,11
KL11,56.66,11,0,11
KL11,56.66,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,88.32,11,0,11
KL11,87.39,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,56.66,11,0,11
KL11,56.56,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,70.6,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,86.32,11,0,11
KL11,78.41,11,0,11
KL11,98.92,11,0,11
KL11,78.58,11,0,11
KL11,69.82,11,0,11
KL11,67.15,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,89.21,11,0,11
KL11,56.99,11,0,11
KL11,56.67,11,0,11
KL11,56.66,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,67.79,11,0,11
KL11,100,11,0,11
KL11,100,11,0,11
KL11,90.07,11,0,11
KL11,83.46,11,0,11
KL11,72.35,11,0,11
KL11,56.96,11,0,11
KL11,56.66,11,0,11
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,96.96,14,1,13
KL111,96.96,14,1,13
KL111,80.24,14,1,13
KL111,79.41,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,97.79,14,1,13
KL111,54.45,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,88.02,14,1,13
KL111,84.5,14,1,13
KL111,69.79,14,1,13
KL111,62.36,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,98.65,14,1,13
KL111,97.57,14,1,13
KL111,100,14,1,13
KL111,79.51,14,1,13
KL111,79.39,14,1,13
KL111,97.79,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,98.65,14,1,13
KL111,100,14,1,13
KL111,79.39,14,1,13
KL111,63.71,14,1,13
KL111,62.72,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,68.42,14,1,13
KL111,54.53,14,1,13
KL111,54.53,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,94.3,14,1,13
KL111,94.16,14,1,13
KL111,92.39,14,1,13
KL111,90.97,14,1,13
KL111,100,14,1,13
KL111,95.65,14,1,13
KL111,79.73,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,88.97,14,1,13
KL111,88.97,14,1,13
KL111,79.39,14,1,13
KL111,75.17,14,1,13
KL111,63.61,14,1,13
KL111,60.16,14,1,13
KL111,97.79,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,89.75,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
KL111,100,14,1,13
