version	locus	quality	PC	mode	minus_log10_pvalue_corr	beta	precision	recall	precision_SC	recall_SC	PC_abundance	locus_abundance	PC_freq	TP	FN	TN	FP	specificity	accuracy	F1_score	MCC	TP_SC	FN_SC	TN_SC	FP_SC	specificity_SC	accuracy_SC	F1_score_SC	MCC_SC	pvalue	n_PC_tested	pvalue_corr	minus_log10_pvalue	precision_CI5_LOWER	precision_MEDIAN	precision_CI95_UPPER	recall_CI5_LOWER	recall_MEDIAN	recall_CI95_UPPER	precision_SC_CI5_LOWER	precision_SC_MEDIAN	precision_SC_CI95_UPPER	recall_SC_CI5_LOWER	recall_SC_MEDIAN	recall_SC_CI95_UPPER	F1_score_num
PCI00C50	KL1	hq	PC0549	lasso			0.88	0.27	0.5	0.07	8	26	0.00323	7.0	19.0	2451.0	1.0	1.0	0.99	0.41	0.48	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		824			0.662	0.815	1.0	0.194	0.25	0.332	0.5	0.5	1.0	0.08	0.1	0.14	0.41
PCI00C80	KL1	hq	PC0662	lasso			0.88	0.27	0.5	0.07	8	26	0.00323	7.0	19.0	2451.0	1.0	1.0	0.99	0.41	0.48	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		998			0.8	0.93	1.0	0.128	0.285	0.392	0.5	0.75	1.0	0.08	0.1	0.12	0.41
PCI50C50	KL1	hq	PC0411	lasso	inf	3.97	0.46	0.42	0.47	0.6	24	26	0.00969	11.0	15.0	2439.0	13.0	0.99	0.99	0.44	0.43	9.0	6.0	524.0	10.0	0.98	0.97	0.53	0.52	0.0	1191	0.0	inf	0.31	0.5	0.542	0.29	0.425	0.5	0.306	0.5	0.586	0.394	0.59	0.704	0.44
PCI50C80	KL1	hq	PC0762	lasso			0.88	0.27	0.5	0.07	8	26	0.00323	7.0	19.0	2451.0	1.0	1.0	0.99	0.41	0.48	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		1289			0.746	0.86	1.0	0.18	0.25	0.35	0.5	0.5	1.0	0.08	0.085	0.112	0.41
PCI80C50	KL1	hq	PC0968	lasso			0.88	0.27	0.5	0.07	8	26	0.00323	7.0	19.0	2451.0	1.0	1.0	0.99	0.41	0.48	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		1543			0.746	0.86	1.0	0.168	0.25	0.352	0.5	0.5	1.0	0.08	0.09	0.121	0.41
PCI80C80	KL1	hq	PC0939	lasso			0.88	0.27	0.5	0.07	8	26	0.00323	7.0	19.0	2451.0	1.0	1.0	0.99	0.41	0.48	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		1587			0.746	0.83	1.0	0.196	0.265	0.383	0.5	0.5	1.0	0.08	0.09	0.121	0.41
PCI00C50	KL10	hq	PC0461	lasso			0.42	0.17	0.44	0.27	12	30	0.00484	5.0	25.0	2441.0	7.0	1.0	0.99	0.24	0.26	4.0	11.0	529.0	5.0	0.99	0.97	0.33	0.33		824			0.197	0.43	0.572	0.06	0.18	0.25	0.198	0.5	0.604	0.108	0.27	0.33	0.24
PCI00C80	KL10	hq	PC0540	lasso			0.45	0.17	0.5	0.27	11	30	0.00444	5.0	25.0	2442.0	6.0	1.0	0.99	0.25	0.27	4.0	11.0	530.0	4.0	0.99	0.97	0.35	0.35		998			0.198	0.415	0.575	0.06	0.14	0.22	0.2	0.43	0.67	0.09	0.23	0.311	0.25
PCI50C50	KL10	hq	PC0894	lasso			0.83	0.17	1.0	0.2	6	30	0.00242	5.0	25.0	2447.0	1.0	1.0	0.99	0.28	0.37	3.0	12.0	534.0	0.0	1.0	0.98	0.33	0.44		1191			0.67	0.8	1.0	0.12	0.18	0.222	1.0	1.0	1.0	0.15	0.25	0.302	0.28
PCI50C80	KL10	hq	PC0935	lasso			0.83	0.17	1.0	0.2	6	30	0.00242	5.0	25.0	2447.0	1.0	1.0	0.99	0.28	0.37	3.0	12.0	534.0	0.0	1.0	0.98	0.33	0.44		1289			0.662	0.8	1.0	0.089	0.18	0.232	0.662	1.0	1.0	0.128	0.2	0.332	0.28
PCI80C50	KL10	hq	PC1137	lasso	inf	1.82	0.83	0.17	1.0	0.2	6	30	0.00242	5.0	25.0	2447.0	1.0	1.0	0.99	0.28	0.37	3.0	12.0	534.0	0.0	1.0	0.98	0.33	0.44	0.0	1543	0.0	inf	0.67	0.8	1.0	0.11	0.17	0.221	0.984	1.0	1.0	0.14	0.18	0.302	0.28
PCI80C80	KL10	hq	PC1196	lasso			0.83	0.17	1.0	0.2	6	30	0.00242	5.0	25.0	2447.0	1.0	1.0	0.99	0.28	0.37	3.0	12.0	534.0	0.0	1.0	0.98	0.33	0.44		1587			0.67	0.8	1.0	0.098	0.18	0.24	0.67	1.0	1.0	0.09	0.22	0.3	0.28
PCI00C50	KL103	hq	PC0233	lasso	inf	1.56	0.15	0.64	0.23	0.7	46	11	0.0186	7.0	4.0	2428.0	39.0	0.98	0.98	0.24	0.31	7.0	3.0	516.0	23.0	0.96	0.95	0.35	0.39	0.0	824	0.0	inf	0.08	0.16	0.212	0.4	0.62	0.784	0.11	0.22	0.292	0.496	0.67	0.861	0.24
PCI00C80	KL103	hq	PC0693	lasso			0.83	0.45	0.83	0.5	6	11	0.00242	5.0	6.0	2466.0	1.0	1.0	1.0	0.58	0.61	5.0	5.0	538.0	1.0	1.0	0.99	0.62	0.64		998			0.67	0.8	1.0	0.29	0.5	0.67	0.67	0.8	1.0	0.29	0.5	0.677	0.58
PCI50C50	KL103	hq	PC0545	lasso	inf	17.0	0.64	0.64	0.64	0.7	11	11	0.00444	7.0	4.0	2463.0	4.0	1.0	1.0	0.64	0.63	7.0	3.0	535.0	4.0	0.99	0.99	0.67	0.66	0.0	1191	0.0	inf	0.428	0.585	0.838	0.496	0.67	0.802	0.428	0.585	0.838	0.496	0.67	0.83	0.64
PCI50C80	KL103	hq	PC0929	lasso	inf	5.41	1.0	0.45	1.0	0.5	5	11	0.00202	5.0	6.0	2467.0	0.0	1.0	1.0	0.62	0.67	5.0	5.0	539.0	0.0	1.0	0.99	0.67	0.7	0.0	1289	0.0	inf	1.0	1.0	1.0	0.17	0.5	0.629	1.0	1.0	1.0	0.17	0.5	0.677	0.62
PCI80C50	KL103	hq	PC0887	lasso	inf	11.5	0.5	0.36	0.5	0.4	8	11	0.00323	4.0	7.0	2463.0	4.0	1.0	1.0	0.42	0.42	4.0	6.0	535.0	4.0	0.99	0.98	0.44	0.44	0.0	1543	0.0	inf	0.326	0.5	0.763	0.139	0.38	0.5	0.326	0.5	0.763	0.14	0.38	0.5	0.42
PCI80C80	KL103	hq	PC0865	lasso	inf	12.4	0.5	0.36	0.5	0.4	8	11	0.00323	4.0	7.0	2463.0	4.0	1.0	1.0	0.42	0.42	4.0	6.0	535.0	4.0	0.99	0.98	0.44	0.44	0.0	1587	0.0	inf	0.238	0.57	0.753	0.162	0.38	0.509	0.238	0.57	0.753	0.19	0.38	0.509	0.42
PCI00C50	KL11	hq	PC0428	lasso			0.64	0.3	0.5	0.09	14	30	0.00565	9.0	21.0	2443.0	5.0	1.0	0.99	0.41	0.43	1.0	10.0	537.0	1.0	1.0	0.98	0.15	0.21		824			0.497	0.62	0.886	0.207	0.285	0.381	0.5	0.5	1.0	0.1	0.12	0.142	0.41
PCI00C80	KL11	hq	PC0177	lasso	inf	2.96	0.35	0.8	0.27	0.73	69	30	0.0278	24.0	6.0	2403.0	45.0	0.98	0.98	0.49	0.52	8.0	3.0	516.0	22.0	0.96	0.95	0.39	0.42	0.0	998	0.0	inf	0.28	0.36	0.401	0.73	0.8	0.852	0.2	0.265	0.32	0.617	0.71	0.867	0.49
PCI50C50	KL11	hq	PC0428	lasso	inf	3.41	0.8	0.53	0.62	0.45	20	30	0.00807	16.0	14.0	2444.0	4.0	1.0	0.99	0.64	0.65	5.0	6.0	535.0	3.0	0.99	0.98	0.52	0.53	0.0	1191	0.0	inf	0.73	0.8	1.0	0.475	0.575	0.652	0.5	0.69	1.0	0.428	0.56	0.62	0.64
PCI50C80	KL11	hq	PC0495	lasso	inf	2.84	0.78	0.47	0.62	0.45	18	30	0.00726	14.0	16.0	2444.0	4.0	1.0	0.99	0.59	0.6	5.0	6.0	535.0	3.0	0.99	0.98	0.52	0.53	0.0	1289	0.0	inf	0.669	0.75	0.92	0.378	0.46	0.551	0.496	0.6	0.802	0.289	0.445	0.61	0.59
PCI80C50	KL11	hq	PC0611	lasso			0.82	0.47	0.33	0.09	17	30	0.00686	14.0	16.0	2445.0	3.0	1.0	0.99	0.6	0.62	1.0	10.0	536.0	2.0	1.0	0.98	0.14	0.17		1543			0.729	0.83	1.0	0.376	0.48	0.59	0.33	0.415	1.0	0.1	0.12	0.17	0.6
PCI80C80	KL11	hq	PC0617	lasso			0.82	0.47	0.33	0.09	17	30	0.00686	14.0	16.0	2445.0	3.0	1.0	0.99	0.6	0.62	1.0	10.0	536.0	2.0	1.0	0.98	0.14	0.17		1587			0.746	0.81	0.901	0.318	0.46	0.541	0.33	0.33	0.5	0.1	0.12	0.143	0.6
PCI00C50	KL111	hq	PC0429	lasso	inf	4.7	1.0	0.42	1.0	0.5	14	33	0.00565	14.0	19.0	2445.0	0.0	1.0	0.99	0.59	0.65	7.0	7.0	535.0	0.0	1.0	0.99	0.67	0.7	0.0	824	0.0	inf	1.0	1.0	1.0	0.36	0.42	0.504	1.0	1.0	1.0	0.31	0.475	0.604	0.59
PCI00C80	KL111	hq	PC0522	lasso	inf	6.91	1.0	0.36	1.0	0.43	12	33	0.00484	12.0	21.0	2445.0	0.0	1.0	0.99	0.53	0.6	6.0	8.0	535.0	0.0	1.0	0.99	0.6	0.65	0.0	998	0.0	inf	1.0	1.0	1.0	0.238	0.36	0.451	1.0	1.0	1.0	0.298	0.38	0.453	0.53
PCI50C50	KL111	hq	PC0572	lasso	inf	4.14	1.0	0.42	1.0	0.5	14	33	0.00565	14.0	19.0	2445.0	0.0	1.0	0.99	0.59	0.65	7.0	7.0	535.0	0.0	1.0	0.99	0.67	0.7	0.0	1191	0.0	inf	1.0	1.0	1.0	0.32	0.415	0.532	1.0	1.0	1.0	0.329	0.45	0.581	0.59
PCI50C80	KL111	hq	PC0575	lasso	inf	4.71	1.0	0.42	1.0	0.5	14	33	0.00565	14.0	19.0	2445.0	0.0	1.0	0.99	0.59	0.65	7.0	7.0	535.0	0.0	1.0	0.99	0.67	0.7	0.0	1289	0.0	inf	1.0	1.0	1.0	0.33	0.44	0.501	1.0	1.0	1.0	0.399	0.5	0.6	0.59
PCI80C50	KL111	hq	PC0692	lasso	inf	3.9	1.0	0.42	1.0	0.5	14	33	0.00565	14.0	19.0	2445.0	0.0	1.0	0.99	0.59	0.65	7.0	7.0	535.0	0.0	1.0	0.99	0.67	0.7	0.0	1543	0.0	inf	1.0	1.0	1.0	0.33	0.41	0.502	1.0	1.0	1.0	0.378	0.5	0.562	0.59
PCI80C80	KL111	hq	PC0696	lasso	inf	4.54	1.0	0.42	1.0	0.5	14	33	0.00565	14.0	19.0	2445.0	0.0	1.0	0.99	0.59	0.65	7.0	7.0	535.0	0.0	1.0	0.99	0.67	0.7	0.0	1587	0.0	inf	1.0	1.0	1.0	0.376	0.41	0.502	1.0	1.0	1.0	0.378	0.5	0.58	0.59
