ST	n_countries	n_continents	datasets_present	subset
ST10-1LV	1	1	KlebAMRnet	A unique
ST10-2LV	1	1	KlebAMRnet	A unique
ST1013	3	2	KlebAMRnet	A unique
ST1015	6	4	KlebAMRnet	A unique
ST1026	4	2	KlebAMRnet	A unique
ST1027	1	1	KlebAMRnet	A unique
ST1037	6	4	KlebAMRnet	A unique
ST104-1LV	1	1	KlebAMRnet	A unique
ST104-2LV	1	1	KlebAMRnet	A unique
ST1043	3	3	KlebAMRnet	A unique
ST1045	1	1	KlebAMRnet	A unique
ST1047	1	1	KlebAMRnet	A unique
ST1048	1	1	KlebAMRnet	A unique
ST1049	6	4	KlebAMRnet	A unique
ST105-1LV	2	2	KlebAMRnet	A unique
ST1061	1	1	KlebAMRnet	A unique
ST1061-1LV	1	1	KlebAMRnet	A unique
ST1065	2	2	KlebAMRnet	A unique
ST107-1LV	1	1	KlebAMRnet	A unique
ST107-2LV	1	1	KlebAMRnet	A unique
ST107-3LV	1	1	KlebAMRnet	A unique
ST1074	3	3	KlebAMRnet	A unique
ST1076	2	1	KlebAMRnet	A unique
ST1078	1	1	KlebAMRnet	A unique
ST108	2	2	KlebAMRnet	A unique
ST1081	1	1	KlebAMRnet	A unique
ST1082	4	3	KlebAMRnet	A unique
ST1084	2	2	KlebAMRnet	A unique
ST1086	2	2	KlebAMRnet	A unique
ST1087	5	3	KlebAMRnet	A unique
ST1089	1	1	KlebAMRnet	A unique
ST109	2	2	KlebAMRnet	A unique
ST1093	2	2	KlebAMRnet	A unique
ST11-2LV	1	1	KlebAMRnet	A unique
ST1103	1	1	KlebAMRnet	A unique
ST1104	1	1	KlebAMRnet	A unique
ST1108	2	2	KlebAMRnet	A unique
ST1109-1LV	1	1	KlebAMRnet	A unique
ST111-1LV	3	3	KlebAMRnet	A unique
ST1114	3	3	KlebAMRnet	A unique
ST1116	1	1	KlebAMRnet	A unique
ST1122	1	1	KlebAMRnet	A unique
ST1123	1	1	KlebAMRnet	A unique
ST1124	1	1	KlebAMRnet	A unique
ST1128	3	3	KlebAMRnet	A unique
ST1135	1	1	KlebAMRnet	A unique
ST1140	2	2	KlebAMRnet	A unique
ST1141	5	2	KlebAMRnet	A unique
ST1145	5	3	KlebAMRnet	A unique
ST1159	1	1	KlebAMRnet	A unique
ST116-1LV	1	1	KlebAMRnet	A unique
ST1161	3	2	KlebAMRnet	A unique
ST1162	1	1	KlebAMRnet	A unique
ST1164	3	2	KlebAMRnet	A unique
ST1180	4	2	KlebAMRnet	A unique
ST1189-1LV	1	1	KlebAMRnet	A unique
ST1192	2	2	KlebAMRnet	A unique
ST1199	2	2	KlebAMRnet	A unique
ST12-1LV	2	2	KlebAMRnet	A unique
ST120	2	1	KlebAMRnet	A unique
ST1200	1	1	KlebAMRnet	A unique
ST1203	3	2	KlebAMRnet	A unique
ST1203-1LV	1	1	KlebAMRnet	A unique
ST1229	8	4	KlebAMRnet	A unique
ST1229-1LV	1	1	KlebAMRnet	A unique
ST1229-2LV	1	1	KlebAMRnet	A unique
ST1233	1	1	KlebAMRnet	A unique
ST1235	4	3	KlebAMRnet	A unique
ST1236	2	1	KlebAMRnet	A unique
ST1237	1	1	KlebAMRnet	A unique
ST1239	1	1	KlebAMRnet	A unique
ST1243	8	4	KlebAMRnet	A unique
ST1245	2	1	KlebAMRnet	A unique
ST1248	2	2	KlebAMRnet	A unique
ST1254	1	1	KlebAMRnet	A unique
ST1265	3	2	KlebAMRnet	A unique
ST1269	3	2	KlebAMRnet	A unique
ST1272	1	1	KlebAMRnet	A unique
ST128-1LV	1	1	KlebAMRnet	A unique
ST129	4	3	KlebAMRnet	A unique
ST1290	2	2	KlebAMRnet	A unique
ST13-1LV	2	2	KlebAMRnet	A unique
ST130	1	1	KlebAMRnet	A unique
ST1301	2	1	KlebAMRnet	A unique
ST1303	8	6	KlebAMRnet	A unique
ST1303-1LV	1	1	KlebAMRnet	A unique
ST1309	2	1	KlebAMRnet	A unique
ST1317	4	2	KlebAMRnet	A unique
ST132-1LV	1	1	KlebAMRnet	A unique
ST1326	2	2	KlebAMRnet	A unique
ST133-1LV	1	1	KlebAMRnet	A unique
ST1333	4	2	KlebAMRnet	A unique
ST136	1	1	KlebAMRnet	A unique
ST1362	3	2	KlebAMRnet	A unique
ST1377-3LV	1	1	KlebAMRnet	A unique
ST1380	6	3	KlebAMRnet	A unique
ST1380-1LV	1	1	KlebAMRnet	A unique
ST1382	1	1	KlebAMRnet	A unique
ST1383	2	2	KlebAMRnet	A unique
ST1387	1	1	KlebAMRnet	A unique
ST1391-4LV	1	1	KlebAMRnet	A unique
ST1396	1	1	KlebAMRnet	A unique
ST1399	4	3	KlebAMRnet	A unique
ST14-1LV	8	3	KlebAMRnet	A unique
ST14-2LV	2	2	KlebAMRnet	A unique
ST14-3LV	1	1	KlebAMRnet	A unique
ST1401-2LV	1	1	KlebAMRnet	A unique
ST1411	6	4	KlebAMRnet	A unique
ST1419	6	5	KlebAMRnet	A unique
ST1426	7	3	KlebAMRnet	A unique
ST1429	2	2	KlebAMRnet	A unique
ST1430	2	1	KlebAMRnet	A unique
ST1431	1	1	KlebAMRnet	A unique
ST1432	1	1	KlebAMRnet	A unique
ST1436	4	3	KlebAMRnet	A unique
ST1438	2	2	KlebAMRnet	A unique
ST1440	3	3	KlebAMRnet	A unique
ST1444	1	1	KlebAMRnet	A unique
ST1447	3	3	KlebAMRnet	A unique
ST1451	2	2	KlebAMRnet	A unique
ST1454	8	5	KlebAMRnet	A unique
ST147-1LV	10	5	KlebAMRnet	A unique
ST147-2LV	1	1	KlebAMRnet	A unique
ST1471	2	2	KlebAMRnet	A unique
ST1476	1	1	KlebAMRnet	A unique
ST148	1	1	KlebAMRnet	A unique
ST1480	3	1	KlebAMRnet	A unique
ST1481	1	1	KlebAMRnet	A unique
ST1487	2	1	KlebAMRnet	A unique
ST1493	1	1	KlebAMRnet	A unique
ST1495	1	1	KlebAMRnet	A unique
ST1496-1LV	1	1	KlebAMRnet	A unique
ST15-1LV	11	3	KlebAMRnet	A unique
ST150	2	2	KlebAMRnet	A unique
ST150-1LV	1	1	KlebAMRnet	A unique
ST1500	1	1	KlebAMRnet	A unique
ST1502	1	1	KlebAMRnet	A unique
ST1506	2	2	KlebAMRnet	A unique
ST1516	1	1	KlebAMRnet	A unique
ST1517	1	1	KlebAMRnet	A unique
ST1518	2	2	KlebAMRnet	A unique
ST1519	2	2	KlebAMRnet	A unique
ST152-1LV	1	1	KlebAMRnet	A unique
ST1521	2	2	KlebAMRnet	A unique
ST1522	1	1	KlebAMRnet	A unique
ST1526	2	2	KlebAMRnet	A unique
ST1534	1	1	KlebAMRnet	A unique
ST1544	1	1	KlebAMRnet	A unique
ST1552-1LV	1	1	KlebAMRnet	A unique
ST1554	2	2	KlebAMRnet	A unique
ST1558	1	1	KlebAMRnet	A unique
ST1565	3	2	KlebAMRnet	A unique
ST157	1	1	KlebAMRnet	A unique
ST1577	1	1	KlebAMRnet	A unique
ST158	3	2	KlebAMRnet	A unique
ST1587	1	1	KlebAMRnet	A unique
ST16-1LV	4	3	KlebAMRnet	A unique
ST1604	1	1	KlebAMRnet	A unique
