dataset	genomeID	ST	country	continent
KlebAMRnet	GCA_019927265.1_ASM1992726v1	ST258	USA	North America
KlebAMRnet	GCA_019927285.1_ASM1992728v1	ST4075	USA	North America
KlebAMRnet	GCA_019927305.1_ASM1992730v1	ST34	USA	North America
KlebAMRnet	GCA_019927315.1_ASM1992731v1	ST461	USA	North America
KlebAMRnet	GCA_019927325.1_ASM1992732v1	ST380	USA	North America
KlebAMRnet	GCA_019927345.1_ASM1992734v1	ST395	Ukraine	Europe
KlebAMRnet	GCA_019927385.1_ASM1992738v1	ST37	South Korea	Asia
KlebAMRnet	GCA_019927405.1_ASM1992740v1	ST711	Kenya	Africa
KlebAMRnet	GCA_019927425.1_ASM1992742v1	ST485	Kenya	Africa
KlebAMRnet	GCA_019927435.1_ASM1992743v1	ST1621	USA	North America
KlebAMRnet	GCA_019927465.1_ASM1992746v1	ST70	Thailand	Asia
KlebAMRnet	GCA_019927485.1_ASM1992748v1	ST1835	USA	North America
KlebAMRnet	GCA_019927505.1_ASM1992750v1	ST2441	USA	North America
KlebAMRnet	GCA_019927525.1_ASM1992752v1	ST340	Philippines	Asia
KlebAMRnet	GCA_019927535.1_ASM1992753v1	ST987	USA	North America
KlebAMRnet	GCA_019927565.1_ASM1992756v1	ST198	USA	North America
KlebAMRnet	GCA_019927585.1_ASM1992758v1	ST17	Italy	Europe
KlebAMRnet	GCA_019927605.1_ASM1992760v1	ST200	USA	North America
KlebAMRnet	GCA_019927625.1_ASM1992762v1	ST15	Kenya	Africa
KlebAMRnet	GCA_019927645.1_ASM1992764v1	ST231	USA	North America
KlebAMRnet	GCA_019927655.1_ASM1992765v1	ST1838	Kenya	Africa
KlebAMRnet	GCA_019927685.1_ASM1992768v1	ST307	Italy	Europe
KlebAMRnet	GCA_019927705.1_ASM1992770v1	ST25	USA	North America
KlebAMRnet	GCA_019927725.1_ASM1992772v1	ST636	USA	North America
KlebAMRnet	GCA_019927745.1_ASM1992774v1	ST2217	USA	North America
KlebAMRnet	GCA_019927765.1_ASM1992776v1	ST661	Germany	Europe
KlebAMRnet	GCA_019927785.1_ASM1992778v1	ST268	Thailand	Asia
KlebAMRnet	GCA_019927805.1_ASM1992780v1	ST244	Thailand	Asia
KlebAMRnet	GCA_019927825.1_ASM1992782v1	ST348	USA	North America
KlebAMRnet	GCA_019927845.1_ASM1992784v1	ST133	USA	North America
KlebAMRnet	GCA_019927855.1_ASM1992785v1	ST65	USA	North America
KlebAMRnet	GCA_019927885.1_ASM1992788v1	ST788	USA	North America
KlebAMRnet	GCA_019927905.1_ASM1992790v1	ST3050	USA	North America
KlebAMRnet	GCA_019927925.1_ASM1992792v1	ST22	USA	North America
KlebAMRnet	GCA_019927945.1_ASM1992794v1	ST392	Germany	Europe
KlebAMRnet	GCA_019927965.1_ASM1992796v1	ST43	Jordan	Asia
KlebAMRnet	GCA_019927985.1_ASM1992798v1	ST391	Jordan	Asia
KlebAMRnet	GCA_019928005.1_ASM1992800v1	ST147	Jordan	Asia
KlebAMRnet	GCA_019928025.1_ASM1992802v1	ST1399	Jordan	Asia
KlebAMRnet	GCA_019928045.1_ASM1992804v1	ST23	Jordan	Asia
KlebAMRnet	GCA_019928065.1_ASM1992806v1	ST342	Jordan	Asia
KlebAMRnet	GCA_019928075.1_ASM1992807v1	ST14	Jordan	Asia
KlebAMRnet	GCA_019928105.1_ASM1992810v1	ST16	Thailand	Asia
KlebAMRnet	GCA_019928115.1_ASM1992811v1	ST551	USA	North America
KlebAMRnet	GCA_019928145.1_ASM1992814v1	ST5450	USA	North America
KlebAMRnet	GCA_019928165.1_ASM1992816v1	ST5449	USA	North America
KlebAMRnet	GCA_019928185.1_ASM1992818v1	ST11	Israel	Asia
KlebAMRnet	GCA_019928205.1_ASM1992820v1	ST323	USA	North America
KlebAMRnet	GCA_019928215.1_ASM1992821v1	ST512	Israel	Asia
KlebAMRnet	GCA_019928245.1_ASM1992824v1	ST471	USA	North America
KlebAMRnet	GCA_019928265.1_ASM1992826v1	ST252	USA	North America
KlebAMRnet	GCA_019928285.1_ASM1992828v1	ST686	USA	North America
KlebAMRnet	GCA_019928305.1_ASM1992830v1	ST134	USA	North America
KlebAMRnet	GCA_019928325.1_ASM1992832v1	ST13	USA	North America
KlebAMRnet	GCA_019928345.1_ASM1992834v1	ST44	Germany	Europe
KlebAMRnet	GCA_019928365.1_ASM1992836v1	ST38	Kenya	Africa
KlebAMRnet	GCA_019928385.1_ASM1992838v1	ST5448	USA	North America
KlebAMRnet	GCA_019928395.1_ASM1992839v1	ST2071	Thailand	Asia
KlebAMRnet	GCA_019928405.1_ASM1992840v1	ST147	Kenya	Africa
KlebAMRnet	GCA_019928445.1_ASM1992844v1	ST253	USA	North America
KlebAMRnet	GCA_019928465.1_ASM1992846v1	ST15	USA	North America
KlebAMRnet	GCA_019928485.1_ASM1992848v1	ST36	USA	North America
KlebAMRnet	GCA_019928505.1_ASM1992850v1	ST1	USA	North America
KlebAMRnet	GCA_019928525.1_ASM1992852v1	ST2279	USA	North America
KlebAMRnet	GCA_019928545.1_ASM1992854v1	ST1966	Guam	Oceania
