query	target	evalue	pident	bitscore	qlen	qstart	qend	slen	sstart	send	qcov	scov	query-target	coverage	coverage_interval	pident_interval	interaction
2_248_38_KL46	22_245_48_HOST_KL55	1.9099999999999998e-137	42.042	412.0	693.0	121.0	688.0	655.0	82.0	653.0	0.82	0.87	22_245_48_HOST_KL55-2_248_38_KL46	82.0	high (80-100)		A
3_1723_59_KL60	4_1724_71_KL60	0.0	92.308	1367.0	951.0	223.0	949.0	843.0	117.0	841.0	0.76	0.86	3_1723_59_KL60-4_1724_71_KL60	76.0	medium (50-80)		A
3_1723_59_KL60	127_PC0871_KL60	0.0	78.221	1048.0	951.0	300.0	951.0	652.0	1.0	652.0	0.69	1.0	127_PC0871_KL60-3_1723_59_KL60	69.0	medium (50-80)		A
3_1723_59_KL60	130_PC0772_KL64	1.0500000000000001e-58	25.791	211.0	951.0	1.0	950.0	880.0	1.0	878.0	1.0	1.0	130_PC0772_KL64-3_1723_59_KL60	100.0	high (80-100)		A
3_1723_59_KL60	7_1091_44_KL64	1.1800000000000001e-58	25.791	210.0	951.0	1.0	950.0	880.0	1.0	878.0	1.0	1.0	3_1723_59_KL60-7_1091_44_KL64	100.0	high (80-100)		A
3_1723_59_KL60	8_1343_36_HOST_KL64	4.9699999999999997e-54	26.52	196.0	951.0	225.0	950.0	795.0	60.0	793.0	0.76	0.92	3_1723_59_KL60-8_1343_36_HOST_KL64	76.0	medium (50-80)		A
3_1723_59_KL60	97_BBF66868_1_KL56	1.38e-21	23.923	94.0	951.0	306.0	941.0	678.0	35.0	673.0	0.67	0.94	3_1723_59_KL60-97_BBF66868_1_KL56	67.0	medium (50-80)		A
4_1724_71_KL60	127_PC0871_KL60	0.0	78.495	1053.0	843.0	192.0	842.0	652.0	1.0	651.0	0.77	1.0	127_PC0871_KL60-4_1724_71_KL60	77.0	medium (50-80)		A
4_1724_71_KL60	8_1343_36_HOST_KL64	2.28e-43	25.718	162.0	843.0	180.0	833.0	795.0	121.0	781.0	0.78	0.83	4_1724_71_KL60-8_1343_36_HOST_KL64	78.0	medium (50-80)		A
4_1724_71_KL60	7_1091_44_KL64	3.15e-42	25.889	159.0	843.0	183.0	833.0	880.0	209.0	866.0	0.77	0.75	4_1724_71_KL60-7_1091_44_KL64	75.0	medium (50-80)		A
4_1724_71_KL60	130_PC0772_KL64	3.5999999999999996e-42	25.889	159.0	843.0	183.0	833.0	880.0	209.0	866.0	0.77	0.75	130_PC0772_KL64-4_1724_71_KL60	75.0	medium (50-80)		A
4_1724_71_KL60	97_BBF66868_1_KL56	2.51e-21	23.707	92.8	843.0	173.0	833.0	678.0	16.0	673.0	0.78	0.97	4_1724_71_KL60-97_BBF66868_1_KL56	78.0	medium (50-80)		A
5_617_77_KL38	126_PC0854_KL38	0.0	100.0	2604.0	1258.0	1.0	1258.0	1258.0	1.0	1258.0	1.0	1.0	126_PC0854_KL38-5_617_77_KL38	100.0	high (80-100)		A
5_617_77_KL38	88_UCR74083_1_KL27	0.0	36.636	593.0	1258.0	172.0	1234.0	1294.0	190.0	1267.0	0.84	0.83	5_617_77_KL38-88_UCR74083_1_KL27	83.0	high (80-100)		A
5_617_77_KL38	109_BAN78446_1_KN2	3.34e-174	35.04	543.0	1258.0	165.0	1250.0	1245.0	181.0	1243.0	0.86	0.85	109_BAN78446_1_KN2-5_617_77_KL38	85.0	high (80-100)		A
6_914_74_KL62	128_PC0671_KL62	0.0	96.512	1022.0	666.0	151.0	666.0	516.0	1.0	516.0	0.77	1.0	128_PC0671_KL62-6_914_74_KL62	77.0	medium (50-80)		A
6_914_74_KL62	101_WOK01638_1_KL62	2.7e-148	47.269	441.0	666.0	135.0	664.0	692.0	165.0	691.0	0.8	0.76	101_WOK01638_1_KL62-6_914_74_KL62	76.0	medium (50-80)		A
6_914_74_KL62	53_0391_11_KL62	9.090000000000001e-125	46.121	384.0	666.0	81.0	541.0	839.0	173.0	636.0	0.69	0.55	53_0391_11_KL62-6_914_74_KL62	55.00000000000001	medium (50-80)		A
6_914_74_KL62	129_PC0619_KL62	5.23e-120	45.69	372.0	666.0	81.0	541.0	837.0	171.0	634.0	0.69	0.55	129_PC0619_KL62-6_914_74_KL62	55.00000000000001	medium (50-80)		A
6_914_74_KL62	51_0367_12_KL62	8.89e-120	45.69	371.0	666.0	81.0	541.0	851.0	185.0	648.0	0.69	0.55	51_0367_12_KL62-6_914_74_KL62	55.00000000000001	medium (50-80)		A
7_1091_44_KL64	130_PC0772_KL64	0.0	99.773	1791.0	880.0	1.0	880.0	880.0	1.0	880.0	1.0	1.0	130_PC0772_KL64-7_1091_44_KL64	100.0	high (80-100)		A
